name,hp,attack,defense,sp_attack,sp_defense,speed,base_total,is_legendary,cluster
Luxio,60,85,49,60,49,60,363,0,1
Luxray,80,120,79,95,79,70,523,0,2
Budew,40,30,35,50,70,55,280,0,3
Roserade,60,70,65,125,105,90,515,0,2
Cranidos,67,125,40,30,30,58,350,0,1
Rampardos,97,165,60,65,50,58,495,0,2
Shieldon,30,42,118,42,88,30,350,0,3
Bastiodon,60,52,168,47,138,30,495,0,2
Burmy,40,29,45,29,45,36,224,0,3
Wormadam,60,69,95,69,95,36,424,0,1
Mothim,70,94,50,94,50,66,424,0,1
Combee,30,30,42,30,42,70,244,0,3
Vespiquen,70,80,102,80,102,40,474,0,2
Pachirisu,60,45,70,45,90,95,405,0,1
Buizel,55,65,35,60,30,85,330,0,3
Floatzel,85,105,55,85,50,115,495,0,2
Cherubi,45,35,45,62,53,35,275,0,3
Cherrim,70,60,70,87,78,85,450,0,2
Shellos,76,48,48,57,62,34,325,0,3
Gastrodon,111,83,68,92,82,39,475,0,2
Ambipom,75,100,66,60,66,115,482,0,2
Drifloon,90,50,34,60,44,70,348,0,1
Drifblim,150,80,44,90,54,80,498,0,2
Buneary,55,66,44,44,56,85,350,0,1
Lopunny,65,76,84,54,96,105,480,0,2
Mismagius,60,60,60,105,105,105,495,0,2
Honchkrow,100,125,52,105,52,71,505,0,2
Glameow,49,55,42,42,37,85,310,0,3
Purugly,71,82,64,64,59,112,452,0,2
Chingling,45,30,50,65,50,45,285,0,3
Stunky,63,63,47,41,41,74,329,0,3
Skuntank,103,93,67,71,61,84,479,0,2
Bronzor,57,24,86,24,86,23,300,0,3
Bronzong,67,89,116,79,116,33,500,0,2
Bonsly,50,80,95,10,45,10,290,0,3
Mime Jr.,20,25,45,70,90,60,310,0,3
Happiny,100,5,5,15,65,30,220,0,3
Chatot,76,65,45,92,42,91,411,0,1
Spiritomb,50,92,108,92,108,35,485,0,2
Gible,58,70,45,40,45,42,300,0,3
Gabite,68,90,65,50,55,82,410,0,1
Garchomp,108,130,95,80,85,102,600,0,0
Munchlax,135,85,40,40,85,5,390,0,1
Riolu,40,70,40,35,40,60,285,0,3
Lucario,70,110,70,115,70,90,525,0,2
Hippopotas,68,72,78,38,42,32,330,0,3
Hippowdon,108,112,118,68,72,47,525,0,2
Skorupi,40,50,90,30,55,65,330,0,3
Drapion,70,90,110,60,75,95,500,0,2
Croagunk,48,61,40,61,40,50,300,0,3
Toxicroak,83,106,65,86,65,85,490,0,2
Carnivine,74,100,72,90,72,46,454,0,2
Finneon,49,49,56,49,61,66,330,0,3
Lumineon,69,69,76,69,86,91,460,0,2
Mantyke,45,20,50,60,120,50,345,0,3
Snover,60,62,50,62,60,40,334,0,3
Abomasnow,90,92,75,92,85,60,494,0,2
Weavile,70,120,65,45,85,125,510,0,2
Magnezone,70,70,115,130,90,60,535,0,2
Lickilicky,110,85,95,80,95,50,515,0,2
Rhyperior,115,140,130,55,55,40,535,0,2
Tangrowth,100,100,125,110,50,50,535,0,2
Electivire,75,123,67,95,85,95,540,0,2
Magmortar,75,95,67,125,95,83,540,0,2
Togekiss,85,50,95,120,115,80,545,0,2
Yanmega,86,76,86,116,56,95,515,0,2
Leafeon,65,110,130,60,65,95,525,0,2
Glaceon,65,60,110,130,95,65,525,0,2
Gliscor,75,95,125,45,75,95,510,0,2
Mamoswine,110,130,80,70,60,80,530,0,2
Porygon-Z,85,80,70,135,75,90,535,0,2
Gallade,68,125,65,65,115,80,518,0,2
Probopass,60,55,145,75,150,40,525,0,2
Dusknoir,45,100,135,65,135,45,525,0,2
Froslass,70,80,70,80,70,110,480,0,2
Rotom,50,65,107,105,107,86,520,0,2
Uxie,75,75,130,75,130,95,580,1,0
Mesprit,80,105,105,105,105,80,580,1,0
Azelf,75,125,70,125,70,115,580,1,0
Dialga,100,120,120,150,100,90,680,1,0
Palkia,90,120,100,150,120,100,680,1,0
Heatran,91,90,106,130,106,77,600,1,0
Regigigas,110,160,110,80,110,100,670,1,0
Giratina,150,120,100,120,100,90,680,1,0
Cresselia,120,70,120,75,130,85,600,1,0
Phione,80,80,80,80,80,80,480,0,2
Manaphy,100,100,100,100,100,100,600,1,0
Darkrai,70,90,90,135,90,125,600,1,0
Shaymin,100,103,75,120,75,127,600,1,0
Arceus,120,120,120,120,120,120,720,1,0
Victini,100,100,100,100,100,100,600,1,0
Snivy,45,45,55,45,55,63,308,0,3
Servine,60,60,75,60,75,83,413,0,1
Serperior,75,75,95,75,95,113,528,0,2
Tepig,65,63,45,45,45,45,308,0,3
Pignite,90,93,55,70,55,55,418,0,1
Emboar,110,123,65,100,65,65,528,0,2
Oshawott,55,55,45,63,45,45,308,0,3
Dewott,75,75,60,83,60,60,413,0,1
Samurott,95,100,85,108,70,70,528,0,2
Patrat,45,55,39,35,39,42,255,0,3
Watchog,60,85,69,60,69,77,420,0,1
Lillipup,45,60,45,25,45,55,275,0,3
Herdier,65,80,65,35,65,60,370,0,1
Stoutland,85,110,90,45,90,80,500,0,2
Purrloin,41,50,37,50,37,66,281,0,3
Liepard,64,88,50,88,50,106,446,0,2
Pansage,50,53,48,53,48,64,316,0,3
Simisage,75,98,63,98,63,101,498,0,2
Pansear,50,53,48,53,48,64,316,0,3
Simisear,75,98,63,98,63,101,498,0,2
Panpour,50,53,48,53,48,64,316,0,3
Simipour,75,98,63,98,63,101,498,0,2
Munna,76,25,45,67,55,24,292,0,3
Musharna,116,55,85,107,95,29,487,0,2
Pidove,50,55,50,36,30,43,264,0,3
Tranquill,62,77,62,50,42,65,358,0,1
Unfezant,80,115,80,65,55,93,488,0,2
Blitzle,45,60,32,50,32,76,295,0,3
Zebstrika,75,100,63,80,63,116,497,0,2
Roggenrola,55,75,85,25,25,15,280,0,3
Boldore,70,105,105,50,40,20,390,0,1
Gigalith,85,135,130,60,80,25,515,0,2
Woobat,65,45,43,55,43,72,323,0,3
Swoobat,67,57,55,77,55,114,425,0,1
Drilbur,60,85,40,30,45,68,328,0,3
Excadrill,110,135,60,50,65,88,508,0,2
Audino,103,60,86,60,86,50,445,0,2
Timburr,75,80,55,25,35,35,305,0,3
Gurdurr,85,105,85,40,50,40,405,0,1
Conkeldurr,105,140,95,55,65,45,505,0,2
Tympole,50,50,40,50,40,64,294,0,3
Palpitoad,75,65,55,65,55,69,384,0,1
Seismitoad,105,95,75,85,75,74,509,0,2
Throh,120,100,85,30,85,45,465,0,2
Sawk,75,125,75,30,75,85,465,0,2
Sewaddle,45,53,70,40,60,42,310,0,3
Swadloon,55,63,90,50,80,42,380,0,1
Leavanny,75,103,80,70,80,92,500,0,2
Venipede,30,45,59,30,39,57,260,0,3
Whirlipede,40,55,99,40,79,47,360,0,1
Scolipede,60,100,89,55,69,112,485,0,2
Cottonee,40,27,60,37,50,66,280,0,3
Whimsicott,60,67,85,77,75,116,480,0,2
Petilil,45,35,50,70,50,30,280,0,3
Lilligant,70,60,75,110,75,90,480,0,2
Basculin,70,92,65,80,55,98,460,0,2
Sandile,50,72,35,35,35,65,292,0,3
Krokorok,60,82,45,45,45,74,351,0,1
Krookodile,95,117,80,65,70,92,519,0,2
Darumaka,70,90,45,15,45,50,315,0,3
Darmanitan,105,30,105,140,105,55,540,0,2
Maractus,75,86,67,106,67,60,461,0,2
Dwebble,50,65,85,35,35,55,325,0,3
Crustle,70,105,125,65,75,45,485,0,2
Scraggy,50,75,70,35,70,48,348,0,1
Scrafty,65,90,115,45,115,58,488,0,2
Sigilyph,72,58,80,103,80,97,490,0,2
Yamask,38,30,85,55,65,30,303,0,3
Cofagrigus,58,50,145,95,105,30,483,0,2
Tirtouga,54,78,103,53,45,22,355,0,1
Carracosta,74,108,133,83,65,32,495,0,2
Archen,55,112,45,74,45,70,401,0,1
Archeops,75,140,65,112,65,110,567,0,0
Trubbish,50,50,62,40,62,65,329,0,3
Garbodor,80,95,82,60,82,75,474,0,2
Zorua,40,65,40,80,40,65,330,0,3
Zoroark,60,105,60,120,60,105,510,0,2
Minccino,55,50,40,40,40,75,300,0,3
Cinccino,75,95,60,65,60,115,470,0,2
Gothita,45,30,50,55,65,45,290,0,3
Gothorita,60,45,70,75,85,55,390,0,1
Gothitelle,70,55,95,95,110,65,490,0,2
Solosis,45,30,40,105,50,20,290,0,3
Duosion,65,40,50,125,60,30,370,0,1
Reuniclus,110,65,75,125,85,30,490,0,2
Ducklett,62,44,50,44,50,55,305,0,3
Swanna,75,87,63,87,63,98,473,0,2
Vanillite,36,50,50,65,60,44,305,0,3
Vanillish,51,65,65,80,75,59,395,0,1
Vanilluxe,71,95,85,110,95,79,535,0,2
Deerling,60,60,50,40,50,75,335,0,3
Sawsbuck,80,100,70,60,70,95,475,0,2
Emolga,55,75,60,75,60,103,428,0,1
Karrablast,50,75,45,40,45,60,315,0,3
Escavalier,70,135,105,60,105,20,495,0,2
Foongus,69,55,45,55,55,15,294,0,3
Amoonguss,114,85,70,85,80,30,464,0,2
Frillish,55,40,50,65,85,40,335,0,3
Jellicent,100,60,70,85,105,60,480,0,2
Alomomola,165,75,80,40,45,65,470,0,2
Joltik,50,47,50,57,50,65,319,0,3
Galvantula,70,77,60,97,60,108,472,0,2
Ferroseed,44,50,91,24,86,10,305,0,3
Ferrothorn,74,94,131,54,116,20,489,0,2
Klink,40,55,70,45,60,30,300,0,3
Klang,60,80,95,70,85,50,440,0,1
Klinklang,60,100,115,70,85,90,520,0,2
Tynamo,35,55,40,45,40,60,275,0,3
Eelektrik,65,85,70,75,70,40,405,0,1
Eelektross,85,115,80,105,80,50,515,0,2
Elgyem,55,55,55,85,55,30,335,0,3
Beheeyem,75,75,75,125,95,40,485,0,2
Litwick,50,30,55,65,55,20,275,0,3
Lampent,60,40,60,95,60,55,370,0,1
Chandelure,60,55,90,145,90,80,520,0,2
Axew,46,87,60,30,40,57,320,0,3
Fraxure,66,117,70,40,50,67,410,0,1
Haxorus,76,147,90,60,70,97,540,0,2
Cubchoo,55,70,40,60,40,40,305,0,3
Beartic,95,130,80,70,80,50,505,0,2
Cryogonal,80,50,50,95,135,105,515,0,2
Shelmet,50,40,85,40,65,25,305,0,3
Accelgor,80,70,40,100,60,145,495,0,2
Stunfisk,109,66,84,81,99,32,471,0,2
Mienfoo,45,85,50,55,50,65,350,0,1
Mienshao,65,125,60,95,60,105,510,0,2
Druddigon,77,120,90,60,90,48,485,0,2
Golett,59,74,50,35,50,35,303,0,3
Golurk,89,124,80,55,80,55,483,0,2
Pawniard,45,85,70,40,40,60,340,0,3
Bisharp,65,125,100,60,70,70,490,0,2
Bouffalant,95,110,95,40,95,55,490,0,2
Rufflet,70,83,50,37,50,60,350,0,1
Braviary,100,123,75,57,75,80,510,0,2
Vullaby,70,55,75,45,65,60,370,0,1
Mandibuzz,110,65,105,55,95,80,510,0,2
Heatmor,85,97,66,105,66,65,484,0,2
Durant,58,109,112,48,48,109,484,0,2
Deino,52,65,50,45,50,38,300,0,3
Zweilous,72,85,70,65,70,58,420,0,1
Hydreigon,92,105,90,125,90,98,600,0,0
Larvesta,55,85,55,50,55,60,360,0,1
Volcarona,85,60,65,135,105,100,550,0,0
Cobalion,91,90,129,90,72,108,580,1,0
Terrakion,91,129,90,72,90,108,580,1,0
Virizion,91,90,72,90,129,108,580,1,0
Tornadus,79,100,80,110,90,121,580,1,0
Thundurus,79,105,70,145,80,101,580,1,0
Reshiram,100,120,100,150,120,90,680,1,0
Zekrom,100,150,120,120,100,90,680,1,0
Landorus,89,145,90,105,80,91,600,1,0
Kyurem,125,120,90,170,100,95,700,1,0
Keldeo,91,72,90,129,90,108,580,1,0
Meloetta,100,128,90,77,77,128,600,1,0
Genesect,71,120,95,120,95,99,600,1,0
Chespin,56,61,65,48,45,38,313,0,3
Quilladin,61,78,95,56,58,57,405,0,1
Chesnaught,88,107,122,74,75,64,530,0,2
Fennekin,40,45,40,62,60,60,307,0,3
Braixen,59,59,58,90,70,73,409,0,1
Delphox,75,69,72,114,100,104,534,0,2
Froakie,41,56,40,62,44,71,314,0,3
Frogadier,54,63,52,83,56,97,405,0,1
Greninja,72,95,67,103,71,122,540,0,2
Bunnelby,38,36,38,32,36,57,237,0,3
Diggersby,85,56,77,50,77,78,423,0,1
Fletchling,45,50,43,40,38,62,278,0,3
Fletchinder,62,73,55,56,52,84,382,0,1
Talonflame,78,81,71,74,69,126,499,0,2
Scatterbug,38,35,40,27,25,35,200,0,3
Spewpa,45,22,60,27,30,29,213,0,3
Vivillon,80,52,50,90,50,89,411,0,1
Litleo,62,50,58,73,54,72,369,0,1
Pyroar,86,68,72,109,66,106,507,0,2
Flabébé,44,38,39,61,79,42,303,0,3
Floette,74,65,67,125,128,92,551,0,2
Florges,78,65,68,112,154,75,552,0,2
Skiddo,66,65,48,62,57,52,350,0,1
Gogoat,123,100,62,97,81,68,531,0,2
Pancham,67,82,62,46,48,43,348,0,1
Pangoro,95,124,78,69,71,58,495,0,2
Furfrou,75,80,60,65,90,102,472,0,2
Espurr,62,48,54,63,60,68,355,0,1
Meowstic,74,48,76,83,81,104,466,0,2
Honedge,45,80,100,35,37,28,325,0,3
Doublade,59,110,150,45,49,35,448,0,1
Aegislash,60,150,50,150,50,60,520,0,2
Spritzee,78,52,60,63,65,23,341,0,3
Aromatisse,101,72,72,99,89,29,462,0,2
Swirlix,62,48,66,59,57,49,341,0,3
Slurpuff,82,80,86,85,75,72,480,0,2
Inkay,53,54,53,37,46,45,288,0,3
Malamar,86,92,88,68,75,73,482,0,2
Binacle,42,52,67,39,56,50,306,0,3
Barbaracle,72,105,115,54,86,68,500,0,2
Skrelp,50,60,60,60,60,30,320,0,3
Dragalge,65,75,90,97,123,44,494,0,2
Clauncher,50,53,62,58,63,44,330,0,3
Clawitzer,71,73,88,120,89,59,500,0,2
Helioptile,44,38,33,61,43,70,289,0,3
Heliolisk,62,55,52,109,94,109,481,0,2
Tyrunt,58,89,77,45,45,48,362,0,1
Tyrantrum,82,121,119,69,59,71,521,0,2
Amaura,77,59,50,67,63,46,362,0,1
Aurorus,123,77,72,99,92,58,521,0,2
Sylveon,95,65,65,110,130,60,525,0,2
Hawlucha,78,92,75,74,63,118,500,0,2
Dedenne,67,58,57,81,67,101,431,0,1
Carbink,50,50,150,50,150,50,500,0,2
Goomy,45,50,35,55,75,40,300,0,3
Sliggoo,68,75,53,83,113,60,452,0,2
Goodra,90,100,70,110,150,80,600,0,0
Klefki,57,80,91,80,87,75,470,0,2
Phantump,43,70,48,50,60,38,309,0,3
Trevenant,85,110,76,65,82,56,474,0,2
Pumpkaboo,59,66,70,44,55,41,335,0,3
Gourgeist,85,100,122,58,75,54,494,0,2
Bergmite,55,69,85,32,35,28,304,0,3
Avalugg,95,117,184,44,46,28,514,0,2
Noibat,40,30,35,45,40,55,245,0,3
Noivern,85,70,80,97,80,123,535,0,2
Xerneas,126,131,95,131,98,99,680,1,0
Yveltal,126,131,95,131,98,99,680,1,0
Zygarde,108,100,120,81,95,95,600,1,0
Diancie,50,100,150,100,150,50,600,1,0
Hoopa,80,160,60,170,130,80,680,1,0
Volcanion,80,110,120,130,90,70,600,1,0
Rowlet,68,55,55,50,50,42,320,0,3
Dartrix,78,75,75,70,70,52,420,0,1
Decidueye,78,107,75,100,100,70,530,0,2
Litten,45,65,40,60,40,70,320,0,3
Torracat,65,85,50,80,50,90,420,0,1
Incineroar,95,115,90,80,90,60,530,0,2
Popplio,50,54,54,66,56,40,320,0,3
Brionne,60,69,69,91,81,50,420,0,1
Primarina,80,74,74,126,116,60,530,0,2
Pikipek,35,75,30,30,30,65,265,0,3
Trumbeak,55,85,50,40,50,75,355,0,1
Toucannon,80,120,75,75,75,60,485,0,2
Yungoos,48,70,30,30,30,45,253,0,3
Gumshoos,88,110,60,55,60,45,418,0,1
Grubbin,47,62,45,55,45,46,300,0,3
Charjabug,57,82,95,55,75,36,400,0,1
Vikavolt,77,70,90,145,75,43,500,0,2
Crabrawler,47,82,57,42,47,63,338,0,3
Crabominable,97,132,77,62,67,43,478,0,2
Oricorio,75,70,70,98,70,93,476,0,2
Cutiefly,40,45,40,55,40,84,304,0,3
Ribombee,60,55,60,95,70,124,464,0,2
Rockruff,45,65,40,30,40,60,280,0,3
Lycanroc,85,115,75,55,75,82,487,0,2
Wishiwashi,45,140,130,140,135,30,620,0,0
Mareanie,50,53,62,43,52,45,305,0,3
Toxapex,50,63,152,53,142,35,495,0,2
Mudbray,70,100,70,45,55,45,385,0,1
Mudsdale,100,125,100,55,85,35,500,0,2
Dewpider,38,40,52,40,72,27,269,0,3
Araquanid,68,70,92,50,132,42,454,0,2
Fomantis,40,55,35,50,35,35,250,0,3
Lurantis,70,105,90,80,90,45,480,0,2
Morelull,40,35,55,65,75,15,285,0,3
Shiinotic,60,45,80,90,100,30,405,0,1
Salandit,48,44,40,71,40,77,320,0,3
Salazzle,68,64,60,111,60,117,480,0,2
Stufful,70,75,50,45,50,50,340,0,3
Bewear,120,125,80,55,60,60,500,0,2
Bounsweet,42,30,38,30,38,32,210,0,3
Steenee,52,40,48,40,48,62,290,0,3
Tsareena,72,120,98,50,98,72,510,0,2
Comfey,51,52,90,82,110,100,485,0,2
Oranguru,90,60,80,90,110,60,490,0,2
Passimian,100,120,90,40,60,80,490,0,2
Wimpod,25,35,40,20,30,80,230,0,3
Golisopod,75,125,140,60,90,40,530,0,2
Sandygast,55,55,80,70,45,15,320,0,3
Palossand,85,75,110,100,75,35,480,0,2
Pyukumuku,55,60,130,30,130,5,410,0,1
Type: Null,95,95,95,95,95,59,534,0,2
Silvally,95,95,95,95,95,95,570,0,0
Minior,60,100,60,100,60,120,500,0,2
Komala,65,115,65,75,95,65,480,0,2
Turtonator,60,78,135,91,85,36,485,0,2
Togedemaru,65,98,63,40,73,96,435,0,1
Mimikyu,55,90,80,50,105,96,476,0,2
Bruxish,68,105,70,70,70,92,475,0,2
Drampa,78,60,85,135,91,36,485,0,2
Dhelmise,70,131,100,86,90,40,517,0,2
Jangmo-o,45,55,65,45,45,45,300,0,3
Hakamo-o,55,75,90,65,70,65,420,0,1
Kommo-o,75,110,125,100,105,85,600,0,0
Tapu Koko,70,115,85,95,75,130,570,1,0
Tapu Lele,70,85,75,130,115,95,570,1,0
Tapu Bulu,70,130,115,85,95,75,570,1,0
Tapu Fini,70,75,115,95,130,85,570,1,0
Cosmog,43,29,31,29,31,37,200,1,3
Cosmoem,43,29,131,29,131,37,400,1,1
Solgaleo,137,137,107,113,89,97,680,1,0
Lunala,137,113,89,137,107,97,680,1,0
Nihilego,109,53,47,127,131,103,570,1,0
Buzzwole,107,139,139,53,53,79,570,1,0
Pheromosa,71,137,37,137,37,151,570,1,0
Xurkitree,83,89,71,173,71,83,570,1,0
Celesteela,97,101,103,107,101,61,570,1,0
Kartana,59,181,131,59,31,109,570,1,0
Guzzlord,223,101,53,97,53,43,570,1,0
Necrozma,97,107,101,127,89,79,600,1,0
Magearna,80,95,115,130,115,65,600,1,0
